NM_MUN,area_calc_km2
Macaubal,249.53772555484898
Paulo de Faria,741.3825704899874
Caiabu,255.75027090848843
Platina,329.5491488483172
Trabiju,63.55753038249592
Tanabi,750.9692760905118
Socorro,448.9428226921955
Cruzália,150.51140906643383
Colina,423.4260268383664
Araçatuba,1175.9119220346215
Embu-Guaçu,155.6502879306612
Batatais,850.3555091639764
Salto Grande,189.4999277628152
Cajuru,660.4980446805613
Jambeiro,184.29012695645545
Pacaembu,342.6672083928086
Franco da Rocha,132.77211229823956
Campina do Monte Alegre,184.8941458760042
Santa Gertrudes,98.3760070465942
Emilianópolis,227.49401281750744
Monções,104.99122766640988
Turiúba,154.1862473523313
Analândia,326.3071372689016
Presidente Venceslau,763.9914046514662
Caraguatatuba,484.59054599132565
Espírito Santo do Turvo,194.50661541740962
Espírito Santo do Pinhal,389.25299711353955
Itirapina,565.3413634698395
Nuporanga,348.6822896024629
Engenheiro Coelho,109.98866907294659
Pontal,356.9813728990956
Itapetininga,1792.4183813494326
Natividade da Serra,832.7387195955987
Salesópolis,424.7353279632723
Ribeirão Grande,334.0564278610604
Cosmorama,444.0447774017157
Bady Bassitt,110.86577500562646
Pedreira,108.83100150349662
Várzea Paulista,35.121922057857894
Guará,362.64436859574334
Luiziânia,167.709615414911
Pedrinhas Paulista,153.5276680588673
Buritama,329.02801038117445
Laranjal Paulista,384.7859095008141
Ibirarema,229.5837520203234
Mendonça,196.08328795586715
Jaci,145.83311882278636
Jumirim,56.75418856436088
Santa Cruz das Palmeiras,295.49592901612647
Pontalinda,211.0853037042063
São Miguel Arcanjo,931.7320263108944
Araras,645.2287952082199
Cândido Rodrigues,71.08361255473632
Barbosa,206.3746826408231
Arco-Íris,266.7657726727071
Tarabai,203.55473512739096
Tarumã,305.1573670691067
Itararé,1007.8162991038979
Bilac,159.16352899265613
Ribeira,336.8777410817599
Valentim Gentil,150.67413077817685
Canitar,57.755980097000226
Sabino,306.74106926128485
Santa Salete,79.83126493164713
Guararapes,963.1560850867867
São Joaquim da Barra,411.48866701956223
Macedônia,329.6908806327767
Pederneiras,729.7504641358265
Americana,133.9880957571644
Sebastianópolis do Sul,168.80622021122315
